iter	Passed	Remaining
0	60	60102
1	60	30126
2	60	20135
3	60	15135
4	61	12150
5	61	10153
6	61	8723
7	61	7650
8	61	6817
9	62	6150
10	62	5606
11	62	5150
12	62	4764
13	62	4433
14	63	4145
15	63	3895
16	63	3673
17	63	3477
18	63	3300
19	64	3141
20	64	2996
21	64	2883
22	65	2764
23	65	2654
24	65	2554
25	65	2461
26	65	2375
27	66	2299
28	66	2225
29	66	2156
30	66	2092
31	67	2030
32	67	1974
33	67	1921
34	67	1869
35	68	1821
36	68	1775
37	68	1732
38	68	1692
39	68	1655
40	69	1617
41	69	1582
42	69	1548
43	69	1516
44	69	1484
45	70	1455
46	70	1427
47	70	1400
48	70	1374
49	71	1350
50	71	1325
51	71	1302
52	71	1280
53	71	1258
54	72	1237
55	72	1217
56	72	1198
57	72	1179
58	72	1161
59	73	1143
60	73	1127
61	73	1110
62	73	1095
63	73	1079
64	74	1065
65	74	1050
66	74	1036
67	74	1023
68	74	1011
69	75	999
70	75	988
71	75	976
72	75	964
73	76	953
74	76	942
75	76	932
76	76	922
77	77	911
78	77	901
79	77	891
80	77	881
81	77	872
82	78	862
83	78	853
84	78	844
85	78	835
86	78	827
87	79	819
88	79	810
89	79	803
90	79	795
91	79	787
92	80	780
93	80	772
94	80	766
95	80	759
96	80	752
97	81	746
98	81	739
99	81	732
100	81	726
101	81	720
102	81	714
103	82	708
104	82	702
105	82	697
106	82	692
107	83	687
108	83	682
109	83	677
110	83	672
111	84	667
112	84	662
113	84	656
114	84	651
115	84	647
116	85	641
117	85	637
118	85	632
119	85	627
120	85	623
121	85	618
122	86	614
123	86	609
124	86	605
125	86	601
126	86	596
127	86	592
128	87	588
129	87	584
130	87	580
131	87	576
132	87	573
133	88	569
134	88	565
135	88	562
136	88	558
137	88	555
138	89	552
139	89	548
140	89	545
141	89	541
142	89	538
143	89	534
144	90	532
145	90	529
146	90	526
147	90	523
148	91	520
149	91	517
150	91	515
151	91	512
152	92	509
153	92	506
154	92	503
155	92	501
156	92	498
157	93	495
158	93	492
159	93	490
160	93	487
161	93	484
162	93	481
163	94	479
164	94	476
165	94	474
166	94	472
167	94	469
168	95	467
169	95	465
170	95	462
171	95	460
172	95	458
173	96	456
174	96	453
175	96	451
176	96	449
177	96	447
178	97	445
179	97	443
180	97	440
181	97	438
182	97	437
183	98	435
184	98	433
185	98	431
186	98	429
187	98	427
188	99	425
189	99	423
190	99	421
191	99	419
192	99	417
193	100	416
194	100	414
195	100	412
196	100	410
197	100	408
198	101	407
199	101	405
200	101	403
201	101	401
202	101	399
203	102	398
204	102	396
